image_path,pred_mask_path,miou
Weed\dataset\images\train\agri_0_7579.jpeg,Final\weed\results\pred_mask_055.png,1.0
Weed\dataset\images\train\agri_0_5693.jpeg,Final\weed\results\pred_mask_056.png,1.0
Weed\dataset\images\train\agri_0_114.jpeg,Final\weed\results\pred_mask_057.png,1.0
Weed\dataset\images\train\agri_0_1477.jpeg,Final\weed\results\pred_mask_058.png,1.0
Weed\dataset\images\train\agri_0_9843.jpeg,Final\weed\results\pred_mask_059.png,1.0
Weed\dataset\images\train\agri_0_5737.jpeg,Final\weed\results\pred_mask_060.png,1.0
Weed\dataset\images\train\agri_0_1334.jpeg,Final\weed\results\pred_mask_061.png,1.0
Weed\dataset\images\train\agri_0_8141.jpeg,Final\weed\results\pred_mask_062.png,1.0
Weed\dataset\images\train\agri_0_126.jpeg,Final\weed\results\pred_mask_063.png,1.0
Weed\dataset\images\train\agri_0_2533.jpeg,Final\weed\results\pred_mask_064.png,1.0
Weed\dataset\images\train\agri_0_6112.jpeg,Final\weed\results\pred_mask_065.png,1.0
Weed\dataset\images\train\agri_0_4436.jpeg,Final\weed\results\pred_mask_066.png,1.0
Weed\dataset\images\train\agri_0_4214.jpeg,Final\weed\results\pred_mask_067.png,1.0
Weed\dataset\images\train\agri_0_4789.jpeg,Final\weed\results\pred_mask_068.png,1.0
Weed\dataset\images\train\agri_0_9404.jpeg,Final\weed\results\pred_mask_069.png,1.0
Weed\dataset\images\train\agri_0_9707.jpeg,Final\weed\results\pred_mask_070.png,1.0
Weed\dataset\images\train\agri_0_4323.jpeg,Final\weed\results\pred_mask_071.png,1.0
Weed\dataset\images\train\agri_0_1590.jpeg,Final\weed\results\pred_mask_072.png,1.0
Weed\dataset\images\train\agri_0_2685.jpeg,Final\weed\results\pred_mask_073.png,1.0
Weed\dataset\images\train\agri_0_4984.jpeg,Final\weed\results\pred_mask_074.png,1.0
Weed\dataset\images\train\agri_0_8675.jpeg,Final\weed\results\pred_mask_075.png,1.0
Weed\dataset\images\train\agri_0_2951.jpeg,Final\weed\results\pred_mask_076.png,1.0
Weed\dataset\images\train\agri_0_4972.jpeg,Final\weed\results\pred_mask_077.png,1.0
Weed\dataset\images\train\agri_0_8642.jpeg,Final\weed\results\pred_mask_078.png,1.0
Weed\dataset\images\train\agri_0_2825.jpeg,Final\weed\results\pred_mask_079.png,1.0
Weed\dataset\images\val\agri_0_3690.jpeg,Final\weed\results\pred_mask_080.png,1.0
Weed\dataset\images\train\agri_0_4729.jpeg,Final\weed\results\pred_mask_081.png,1.0
Weed\dataset\images\val\agri_0_5508.jpeg,Final\weed\results\pred_mask_082.png,1.0
Weed\dataset\images\train\agri_0_2639.jpeg,Final\weed\results\pred_mask_083.png,1.0
Weed\dataset\images\train\agri_0_3023.jpeg,Final\weed\results\pred_mask_084.png,1.0
Weed\dataset\images\train\agri_0_5474.jpeg,Final\weed\results\pred_mask_085.png,1.0
Weed\dataset\images\train\agri_0_1192.jpeg,Final\weed\results\pred_mask_086.png,1.0
Weed\dataset\images\train\agri_0_7284.jpeg,Final\weed\results\pred_mask_087.png,1.0
Weed\dataset\images\train\agri_0_8857.jpeg,Final\weed\results\pred_mask_088.png,1.0
Weed\dataset\images\train\agri_0_7925.jpeg,Final\weed\results\pred_mask_089.png,1.0
Weed\dataset\images\train\agri_0_1619.jpeg,Final\weed\results\pred_mask_090.png,1.0
Weed\dataset\images\train\agri_0_9562.jpeg,Final\weed\results\pred_mask_091.png,1.0
Weed\dataset\images\train\agri_0_7070.jpeg,Final\weed\results\pred_mask_092.png,1.0
Weed\dataset\images\train\agri_0_3995.jpeg,Final\weed\results\pred_mask_093.png,1.0
Weed\dataset\images\train\agri_0_5239.jpeg,Final\weed\results\pred_mask_094.png,1.0
Weed\dataset\images\val\agri_0_8623.jpeg,Final\weed\results\pred_mask_095.png,1.0
Weed\dataset\images\val\agri_0_5208.jpeg,Final\weed\results\pred_mask_096.png,1.0
Weed\dataset\images\train\agri_0_6690.jpeg,Final\weed\results\pred_mask_097.png,1.0
Weed\dataset\images\train\agri_0_6899.jpeg,Final\weed\results\pred_mask_098.png,1.0
Weed\dataset\images\train\agri_0_3088.jpeg,Final\weed\results\pred_mask_099.png,1.0
Weed\dataset\images\train\agri_0_3203.jpeg,Final\weed\results\pred_mask_100.png,1.0
Weed\dataset\images\train\agri_0_6863.jpeg,Final\weed\results\pred_mask_101.png,1.0
Weed\dataset\images\train\agri_0_6154.jpeg,Final\weed\results\pred_mask_102.png,1.0
Weed\dataset\images\train\agri_0_744.jpeg,Final\weed\results\pred_mask_103.png,1.0
Weed\dataset\images\train\agri_0_4335.jpeg,Final\weed\results\pred_mask_104.png,1.0
Weed\dataset\images\train\agri_0_4167.jpeg,Final\weed\results\pred_mask_105.png,1.0
Weed\dataset\images\val\agri_0_8085.jpeg,Final\weed\results\pred_mask_106.png,1.0
Weed\dataset\images\val\agri_0_82.jpeg,Final\weed\results\pred_mask_107.png,1.0
Weed\dataset\images\val\agri_0_3828.jpeg,Final\weed\results\pred_mask_108.png,1.0
Weed\dataset\images\train\agri_0_2861.jpeg,Final\weed\results\pred_mask_109.png,1.0
Weed\dataset\images\val\agri_0_2772.jpeg,Final\weed\results\pred_mask_110.png,1.0
Weed\dataset\images\train\agri_0_7491.jpeg,Final\weed\results\pred_mask_111.png,1.0
Weed\dataset\images\train\agri_0_4312.jpeg,Final\weed\results\pred_mask_112.png,1.0
Weed\dataset\images\train\agri_0_5100.jpeg,Final\weed\results\pred_mask_113.png,1.0
Weed\dataset\images\train\agri_0_2769.jpeg,Final\weed\results\pred_mask_114.png,1.0
Weed\dataset\images\train\agri_0_1393.jpeg,Final\weed\results\pred_mask_115.png,1.0
Weed\dataset\images\train\agri_0_618.jpeg,Final\weed\results\pred_mask_116.png,1.0
Weed\dataset\images\train\agri_0_8023.jpeg,Final\weed\results\pred_mask_117.png,1.0
Weed\dataset\images\train\agri_0_9198.jpeg,Final\weed\results\pred_mask_118.png,1.0
Weed\dataset\images\train\agri_0_991.jpeg,Final\weed\results\pred_mask_119.png,1.0
Weed\dataset\images\val\agri_0_8338.jpeg,Final\weed\results\pred_mask_120.png,1.0
Weed\dataset\images\val\agri_0_8034.jpeg,Final\weed\results\pred_mask_121.png,1.0
Weed\dataset\images\train\agri_0_3679.jpeg,Final\weed\results\pred_mask_122.png,1.0
Weed\dataset\images\test\agri_0_7669.jpeg,Final\weed\results\pred_mask_123.png,1.0
Weed\dataset\images\train\agri_0_4394.jpeg,Final\weed\results\pred_mask_124.png,1.0
Weed\dataset\images\train\agri_0_1320.jpeg,Final\weed\results\pred_mask_125.png,1.0
Weed\dataset\images\train\agri_0_6870.jpeg,Final\weed\results\pred_mask_126.png,1.0
Weed\dataset\images\train\agri_0_401.jpeg,Final\weed\results\pred_mask_127.png,1.0
Weed\dataset\images\train\agri_0_3234.jpeg,Final\weed\results\pred_mask_128.png,1.0
Weed\dataset\images\train\agri_0_1677.jpeg,Final\weed\results\pred_mask_129.png,1.0
Weed\dataset\images\train\agri_0_1928.jpeg,Final\weed\results\pred_mask_130.png,1.0
Weed\dataset\images\train\agri_0_9284.jpeg,Final\weed\results\pred_mask_131.png,1.0
Weed\dataset\images\train\agri_0_4073.jpeg,Final\weed\results\pred_mask_132.png,1.0
Weed\dataset\images\train\agri_0_3278.jpeg,Final\weed\results\pred_mask_133.png,1.0
Weed\dataset\images\train\agri_0_9881.jpeg,Final\weed\results\pred_mask_134.png,1.0
Weed\dataset\images\train\agri_0_5019.jpeg,Final\weed\results\pred_mask_135.png,1.0
Weed\dataset\images\val\agri_0_487.jpeg,Final\weed\results\pred_mask_136.png,1.0
Weed\dataset\images\train\agri_0_9172.jpeg,Final\weed\results\pred_mask_137.png,1.0
Weed\dataset\images\train\agri_0_1955.jpeg,Final\weed\results\pred_mask_138.png,1.0
Weed\dataset\images\val\agri_0_3613.jpeg,Final\weed\results\pred_mask_139.png,1.0
Weed\dataset\images\train\agri_0_4560.jpeg,Final\weed\results\pred_mask_140.png,1.0
Weed\dataset\images\train\agri_0_2498.jpeg,Final\weed\results\pred_mask_141.png,1.0
Weed\dataset\images\train\agri_0_6610.jpeg,Final\weed\results\pred_mask_142.png,1.0
Weed\dataset\images\train\agri_0_9088.jpeg,Final\weed\results\pred_mask_143.png,1.0
Weed\dataset\images\train\agri_0_3647.jpeg,Final\weed\results\pred_mask_144.png,1.0
Weed\dataset\images\train\agri_0_4013.jpeg,Final\weed\results\pred_mask_145.png,1.0
Weed\dataset\images\train\agri_0_9523.jpeg,Final\weed\results\pred_mask_146.png,1.0
Weed\dataset\images\train\agri_0_6393.jpeg,Final\weed\results\pred_mask_147.png,1.0
Weed\dataset\images\train\agri_0_9810.jpeg,Final\weed\results\pred_mask_148.png,1.0
Weed\dataset\images\train\agri_0_1173.jpeg,Final\weed\results\pred_mask_149.png,1.0
Weed\dataset\images\train\agri_0_3100.jpeg,Final\weed\results\pred_mask_150.png,1.0
Weed\dataset\images\train\agri_0_6078.jpeg,Final\weed\results\pred_mask_151.png,1.0
Weed\dataset\images\train\agri_0_1177.jpeg,Final\weed\results\pred_mask_152.png,1.0
Weed\dataset\images\train\agri_0_3492.jpeg,Final\weed\results\pred_mask_153.png,1.0
Weed\dataset\images\train\agri_0_823.jpeg,Final\weed\results\pred_mask_154.png,1.0
Weed\dataset\images\train\agri_0_5270.jpeg,Final\weed\results\pred_mask_155.png,1.0
Weed\dataset\images\val\agri_0_934.jpeg,Final\weed\results\pred_mask_156.png,1.0
Weed\dataset\images\train\agri_0_1515.jpeg,Final\weed\results\pred_mask_157.png,1.0
Weed\dataset\images\train\agri_0_9660.jpeg,Final\weed\results\pred_mask_158.png,1.0
Weed\dataset\images\train\agri_0_5450.jpeg,Final\weed\results\pred_mask_159.png,1.0
Weed\dataset\images\val\agri_0_9714.jpeg,Final\weed\results\pred_mask_160.png,1.0
Weed\dataset\images\val\agri_0_3152.jpeg,Final\weed\results\pred_mask_161.png,1.0
Weed\dataset\images\train\agri_0_6447.jpeg,Final\weed\results\pred_mask_162.png,1.0
Weed\dataset\images\train\agri_0_3008.jpeg,Final\weed\results\pred_mask_163.png,1.0
Weed\dataset\images\train\agri_0_6977.jpeg,Final\weed\results\pred_mask_164.png,1.0
Weed\dataset\images\val\agri_0_7839.jpeg,Final\weed\results\pred_mask_165.png,1.0
Weed\dataset\images\train\agri_0_4944.jpeg,Final\weed\results\pred_mask_166.png,1.0
Weed\dataset\images\train\agri_0_1317.jpeg,Final\weed\results\pred_mask_167.png,1.0
Weed\dataset\images\train\agri_0_1862.jpeg,Final\weed\results\pred_mask_168.png,1.0
Weed\dataset\images\val\agri_0_2221.jpeg,Final\weed\results\pred_mask_169.png,1.0
Weed\dataset\images\val\agri_0_5494.jpeg,Final\weed\results\pred_mask_170.png,1.0
Weed\dataset\images\train\agri_0_4028.jpeg,Final\weed\results\pred_mask_171.png,1.0
Weed\dataset\images\val\agri_0_5786.jpeg,Final\weed\results\pred_mask_172.png,1.0
Weed\dataset\images\train\agri_0_5384.jpeg,Final\weed\results\pred_mask_173.png,1.0
Weed\dataset\images\train\agri_0_6858.jpeg,Final\weed\results\pred_mask_174.png,1.0
Weed\dataset\images\train\agri_0_9892.jpeg,Final\weed\results\pred_mask_175.png,1.0
Weed\dataset\images\val\agri_0_5773.jpeg,Final\weed\results\pred_mask_176.png,1.0
Weed\dataset\images\train\agri_0_4002.jpeg,Final\weed\results\pred_mask_177.png,1.0
Weed\dataset\images\val\agri_0_1841.jpeg,Final\weed\results\pred_mask_178.png,1.0
Weed\dataset\images\train\agri_0_2812.jpeg,Final\weed\results\pred_mask_179.png,1.0
Weed\dataset\images\train\agri_0_8157.jpeg,Final\weed\results\pred_mask_180.png,1.0
Weed\dataset\images\val\agri_0_8267.jpeg,Final\weed\results\pred_mask_181.png,1.0
Weed\dataset\images\test\agri_0_5932.jpeg,Final\weed\results\pred_mask_182.png,1.0
Weed\dataset\images\train\agri_0_9486.jpeg,Final\weed\results\pred_mask_183.png,1.0
Weed\dataset\images\val\agri_0_9264.jpeg,Final\weed\results\pred_mask_184.png,1.0
Weed\dataset\images\train\agri_0_6891.jpeg,Final\weed\results\pred_mask_185.png,1.0
Weed\dataset\images\train\agri_0_3706.jpeg,Final\weed\results\pred_mask_186.png,1.0
Weed\dataset\images\train\agri_0_7466.jpeg,Final\weed\results\pred_mask_187.png,1.0
Weed\dataset\images\train\agri_0_3820.jpeg,Final\weed\results\pred_mask_188.png,1.0
Weed\dataset\images\train\agri_0_76.jpeg,Final\weed\results\pred_mask_189.png,1.0
Weed\dataset\images\train\agri_0_4530.jpeg,Final\weed\results\pred_mask_190.png,1.0
Weed\dataset\images\train\agri_0_4575.jpeg,Final\weed\results\pred_mask_191.png,1.0
Weed\dataset\images\val\agri_0_2326.jpeg,Final\weed\results\pred_mask_192.png,1.0
Weed\dataset\images\train\agri_0_911.jpeg,Final\weed\results\pred_mask_193.png,1.0
Weed\dataset\images\train\agri_0_5747.jpeg,Final\weed\results\pred_mask_194.png,1.0
Weed\dataset\images\val\agri_0_2606.jpeg,Final\weed\results\pred_mask_195.png,1.0
Weed\dataset\images\train\agri_0_714.jpeg,Final\weed\results\pred_mask_196.png,1.0
Weed\dataset\images\train\agri_0_4064.jpeg,Final\weed\results\pred_mask_197.png,1.0
Weed\dataset\images\train\agri_0_7245.jpeg,Final\weed\results\pred_mask_198.png,1.0
Weed\dataset\images\train\agri_0_2370.jpeg,Final\weed\results\pred_mask_199.png,1.0
Weed\dataset\images\train\agri_0_3949.jpeg,Final\weed\results\pred_mask_200.png,1.0
Weed\dataset\images\train\agri_0_9874.jpeg,Final\weed\results\pred_mask_201.png,1.0
Weed\dataset\images\train\agri_0_3720.jpeg,Final\weed\results\pred_mask_202.png,1.0
Weed\dataset\images\train\agri_0_5178.jpeg,Final\weed\results\pred_mask_203.png,1.0
Weed\dataset\images\train\agri_0_1351.jpeg,Final\weed\results\pred_mask_204.png,1.0
Weed\dataset\images\train\agri_0_8029.jpeg,Final\weed\results\pred_mask_205.png,1.0
Weed\dataset\images\train\agri_0_5257.jpeg,Final\weed\results\pred_mask_206.png,1.0
Weed\dataset\images\train\agri_0_2863.jpeg,Final\weed\results\pred_mask_207.png,1.0
Weed\dataset\images\val\agri_0_1361.jpeg,Final\weed\results\pred_mask_208.png,1.0
Weed\dataset\images\train\agri_0_7795.jpeg,Final\weed\results\pred_mask_209.png,1.0
Weed\dataset\images\train\agri_0_2271.jpeg,Final\weed\results\pred_mask_210.png,1.0
Weed\dataset\images\val\agri_0_1851.jpeg,Final\weed\results\pred_mask_211.png,1.0
Weed\dataset\images\train\agri_0_2999.jpeg,Final\weed\results\pred_mask_212.png,1.0
Weed\dataset\images\train\agri_0_5723.jpeg,Final\weed\results\pred_mask_213.png,1.0
Weed\dataset\images\train\agri_0_3607.jpeg,Final\weed\results\pred_mask_214.png,1.0
Weed\dataset\images\train\agri_0_6.jpeg,Final\weed\results\pred_mask_215.png,1.0
Weed\dataset\images\train\agri_0_6880.jpeg,Final\weed\results\pred_mask_216.png,1.0
Weed\dataset\images\train\agri_0_9095.jpeg,Final\weed\results\pred_mask_217.png,1.0
Weed\dataset\images\train\agri_0_3061.jpeg,Final\weed\results\pred_mask_218.png,1.0
Weed\dataset\images\train\agri_0_4516.jpeg,Final\weed\results\pred_mask_219.png,1.0
Weed\dataset\images\train\agri_0_5529.jpeg,Final\weed\results\pred_mask_220.png,1.0
Weed\dataset\images\test\agri_0_6449.jpeg,Final\weed\results\pred_mask_221.png,1.0
Weed\dataset\images\train\agri_0_9527.jpeg,Final\weed\results\pred_mask_222.png,1.0
Weed\dataset\images\train\agri_0_6031.jpeg,Final\weed\results\pred_mask_223.png,1.0
Weed\dataset\images\train\agri_0_4751.jpeg,Final\weed\results\pred_mask_224.png,1.0
Weed\dataset\images\train\agri_0_6011.jpeg,Final\weed\results\pred_mask_225.png,1.0
Weed\dataset\images\train\agri_0_7388.jpeg,Final\weed\results\pred_mask_226.png,1.0
Weed\dataset\images\val\agri_0_3985.jpeg,Final\weed\results\pred_mask_227.png,1.0
Weed\dataset\images\train\agri_0_784.jpeg,Final\weed\results\pred_mask_228.png,1.0
Weed\dataset\images\train\agri_0_4945.jpeg,Final\weed\results\pred_mask_229.png,1.0
Weed\dataset\images\train\agri_0_601.jpeg,Final\weed\results\pred_mask_230.png,1.0
Weed\dataset\images\train\agri_0_5160.jpeg,Final\weed\results\pred_mask_231.png,1.0
Weed\dataset\images\val\agri_0_6474.jpeg,Final\weed\results\pred_mask_232.png,1.0
Weed\dataset\images\val\agri_0_7497.jpeg,Final\weed\results\pred_mask_233.png,1.0
Weed\dataset\images\train\agri_0_7865.jpeg,Final\weed\results\pred_mask_234.png,1.0
Weed\dataset\images\train\agri_0_4226.jpeg,Final\weed\results\pred_mask_235.png,1.0
Weed\dataset\images\val\agri_0_7039.jpeg,Final\weed\results\pred_mask_236.png,1.0
Weed\dataset\images\train\agri_0_9502.jpeg,Final\weed\results\pred_mask_237.png,1.0
Weed\dataset\images\train\agri_0_7153.jpeg,Final\weed\results\pred_mask_238.png,1.0
Weed\dataset\images\train\agri_0_2332.jpeg,Final\weed\results\pred_mask_239.png,1.0
Weed\dataset\images\train\agri_0_6827.jpeg,Final\weed\results\pred_mask_240.png,1.0
Weed\dataset\images\val\agri_0_2894.jpeg,Final\weed\results\pred_mask_241.png,1.0
Weed\dataset\images\train\agri_0_5794.jpeg,Final\weed\results\pred_mask_242.png,1.0
Weed\dataset\images\train\agri_0_7574.jpeg,Final\weed\results\pred_mask_243.png,1.0
Weed\dataset\images\train\agri_0_5361.jpeg,Final\weed\results\pred_mask_244.png,1.0
Weed\dataset\images\train\agri_0_2633.jpeg,Final\weed\results\pred_mask_245.png,1.0
Weed\dataset\images\train\agri_0_5802.jpeg,Final\weed\results\pred_mask_246.png,1.0
Weed\dataset\images\train\agri_0_6697.jpeg,Final\weed\results\pred_mask_247.png,1.0
Weed\dataset\images\train\agri_0_2034.jpeg,Final\weed\results\pred_mask_248.png,1.0
Weed\dataset\images\train\agri_0_7144.jpeg,Final\weed\results\pred_mask_249.png,1.0
Weed\dataset\images\train\agri_0_377.jpeg,Final\weed\results\pred_mask_250.png,1.0
Weed\dataset\images\train\agri_0_5318.jpeg,Final\weed\results\pred_mask_251.png,1.0
Weed\dataset\images\val\agri_0_9367.jpeg,Final\weed\results\pred_mask_252.png,1.0
Weed\dataset\images\train\agri_0_3752.jpeg,Final\weed\results\pred_mask_253.png,1.0
Weed\dataset\images\train\agri_0_7546.jpeg,Final\weed\results\pred_mask_254.png,1.0
Weed\dataset\images\train\agri_0_3284.jpeg,Final\weed\results\pred_mask_255.png,1.0
Weed\dataset\images\train\agri_0_2545.jpeg,Final\weed\results\pred_mask_256.png,1.0
Weed\dataset\images\train\agri_0_3233.jpeg,Final\weed\results\pred_mask_257.png,1.0
Weed\dataset\images\train\agri_0_3186.jpeg,Final\weed\results\pred_mask_258.png,1.0
Weed\dataset\images\train\agri_0_6776.jpeg,Final\weed\results\pred_mask_259.png,1.0
