image_path,mask_path
Weed\dataset\images\train\agri_0_7105.jpeg,Final\weed\data\agri_0_7105_mask.png
Weed\dataset\images\train\agri_0_1771.jpeg,Final\weed\data\agri_0_1771_mask.png
Weed\dataset\images\train\agri_0_3577.jpeg,Final\weed\data\agri_0_3577_mask.png
Weed\dataset\images\train\agri_0_6907.jpeg,Final\weed\data\agri_0_6907_mask.png
Weed\dataset\images\train\agri_0_879.jpeg,Final\weed\data\agri_0_879_mask.png
Weed\dataset\images\val\agri_0_4125.jpeg,Final\weed\data\agri_0_4125_mask.png
Weed\dataset\images\train\agri_0_2226.jpeg,Final\weed\data\agri_0_2226_mask.png
Weed\dataset\images\val\agri_0_7806.jpeg,Final\weed\data\agri_0_7806_mask.png
Weed\dataset\images\val\agri_0_8797.jpeg,Final\weed\data\agri_0_8797_mask.png
Weed\dataset\images\train\agri_0_5981.jpeg,Final\weed\data\agri_0_5981_mask.png
Weed\dataset\images\train\agri_0_3290.jpeg,Final\weed\data\agri_0_3290_mask.png
Weed\dataset\images\val\agri_0_4892.jpeg,Final\weed\data\agri_0_4892_mask.png
Weed\dataset\images\train\agri_0_3925.jpeg,Final\weed\data\agri_0_3925_mask.png
Weed\dataset\images\val\agri_0_4019.jpeg,Final\weed\data\agri_0_4019_mask.png
Weed\dataset\images\train\agri_0_8783.jpeg,Final\weed\data\agri_0_8783_mask.png
Weed\dataset\images\train\agri_0_7283.jpeg,Final\weed\data\agri_0_7283_mask.png
Weed\dataset\images\val\agri_0_4419.jpeg,Final\weed\data\agri_0_4419_mask.png
Weed\dataset\images\val\agri_0_3797.jpeg,Final\weed\data\agri_0_3797_mask.png
Weed\dataset\images\train\agri_0_8960.jpeg,Final\weed\data\agri_0_8960_mask.png
Weed\dataset\images\train\agri_0_8863.jpeg,Final\weed\data\agri_0_8863_mask.png
Weed\dataset\images\train\agri_0_7866.jpeg,Final\weed\data\agri_0_7866_mask.png
Weed\dataset\images\train\agri_0_5362.jpeg,Final\weed\data\agri_0_5362_mask.png
Weed\dataset\images\train\agri_0_526.jpeg,Final\weed\data\agri_0_526_mask.png
Weed\dataset\images\val\agri_0_7756.jpeg,Final\weed\data\agri_0_7756_mask.png
Weed\dataset\images\train\agri_0_2400.jpeg,Final\weed\data\agri_0_2400_mask.png
Weed\dataset\images\train\agri_0_9278.jpeg,Final\weed\data\agri_0_9278_mask.png
Weed\dataset\images\val\agri_0_7391.jpeg,Final\weed\data\agri_0_7391_mask.png
Weed\dataset\images\train\agri_0_8058.jpeg,Final\weed\data\agri_0_8058_mask.png
Weed\dataset\images\train\agri_0_3230.jpeg,Final\weed\data\agri_0_3230_mask.png
Weed\dataset\images\train\agri_0_5088.jpeg,Final\weed\data\agri_0_5088_mask.png
Weed\dataset\images\train\agri_0_899.jpeg,Final\weed\data\agri_0_899_mask.png
Weed\dataset\images\val\agri_0_4116.jpeg,Final\weed\data\agri_0_4116_mask.png
Weed\dataset\images\val\agri_0_7306.jpeg,Final\weed\data\agri_0_7306_mask.png
Weed\dataset\images\test\agri_0_1693.jpeg,Final\weed\data\agri_0_1693_mask.png
Weed\dataset\images\val\agri_0_9492.jpeg,Final\weed\data\agri_0_9492_mask.png
Weed\dataset\images\test\agri_0_39.jpeg,Final\weed\data\agri_0_39_mask.png
Weed\dataset\images\train\agri_0_871.jpeg,Final\weed\data\agri_0_871_mask.png
Weed\dataset\images\train\agri_0_4718.jpeg,Final\weed\data\agri_0_4718_mask.png
Weed\dataset\images\train\agri_0_603.jpeg,Final\weed\data\agri_0_603_mask.png
Weed\dataset\images\train\agri_0_5716.jpeg,Final\weed\data\agri_0_5716_mask.png
Weed\dataset\images\train\agri_0_3213.jpeg,Final\weed\data\agri_0_3213_mask.png
Weed\dataset\images\train\agri_0_318.jpeg,Final\weed\data\agri_0_318_mask.png
Weed\dataset\images\train\agri_0_8417.jpeg,Final\weed\data\agri_0_8417_mask.png
Weed\dataset\images\train\agri_0_9468.jpeg,Final\weed\data\agri_0_9468_mask.png
Weed\dataset\images\train\agri_0_8595.jpeg,Final\weed\data\agri_0_8595_mask.png
Weed\dataset\images\train\agri_0_3039.jpeg,Final\weed\data\agri_0_3039_mask.png
Weed\dataset\images\train\agri_0_347.jpeg,Final\weed\data\agri_0_347_mask.png
Weed\dataset\images\train\agri_0_3536.jpeg,Final\weed\data\agri_0_3536_mask.png
Weed\dataset\images\train\agri_0_1395.jpeg,Final\weed\data\agri_0_1395_mask.png
Weed\dataset\images\train\agri_0_7544.jpeg,Final\weed\data\agri_0_7544_mask.png
Weed\dataset\images\val\agri_0_9445.jpeg,Final\weed\data\agri_0_9445_mask.png
Weed\dataset\images\train\agri_0_9850.jpeg,Final\weed\data\agri_0_9850_mask.png
Weed\dataset\images\train\agri_0_6708.jpeg,Final\weed\data\agri_0_6708_mask.png
Weed\dataset\images\train\agri_0_6342.jpeg,Final\weed\data\agri_0_6342_mask.png
Weed\dataset\images\train\agri_0_3993.jpeg,Final\weed\data\agri_0_3993_mask.png
Weed\dataset\images\train\agri_0_3509.jpeg,Final\weed\data\agri_0_3509_mask.png
Weed\dataset\images\train\agri_0_5134.jpeg,Final\weed\data\agri_0_5134_mask.png
Weed\dataset\images\train\agri_0_6852.jpeg,Final\weed\data\agri_0_6852_mask.png
Weed\dataset\images\val\agri_0_4909.jpeg,Final\weed\data\agri_0_4909_mask.png
Weed\dataset\images\train\agri_0_7219.jpeg,Final\weed\data\agri_0_7219_mask.png
Weed\dataset\images\train\agri_0_9208.jpeg,Final\weed\data\agri_0_9208_mask.png
Weed\dataset\images\train\agri_0_9299.jpeg,Final\weed\data\agri_0_9299_mask.png
Weed\dataset\images\train\agri_0_6042.jpeg,Final\weed\data\agri_0_6042_mask.png
Weed\dataset\images\train\agri_0_6339.jpeg,Final\weed\data\agri_0_6339_mask.png
Weed\dataset\images\train\agri_0_4302.jpeg,Final\weed\data\agri_0_4302_mask.png
Weed\dataset\images\train\agri_0_3471.jpeg,Final\weed\data\agri_0_3471_mask.png
Weed\dataset\images\train\agri_0_4112.jpeg,Final\weed\data\agri_0_4112_mask.png
Weed\dataset\images\train\agri_0_8546.jpeg,Final\weed\data\agri_0_8546_mask.png
Weed\dataset\images\train\agri_0_7877.jpeg,Final\weed\data\agri_0_7877_mask.png
Weed\dataset\images\val\agri_0_1630.jpeg,Final\weed\data\agri_0_1630_mask.png
Weed\dataset\images\train\agri_0_1959.jpeg,Final\weed\data\agri_0_1959_mask.png
Weed\dataset\images\train\agri_0_6058.jpeg,Final\weed\data\agri_0_6058_mask.png
Weed\dataset\images\train\agri_0_8752.jpeg,Final\weed\data\agri_0_8752_mask.png
Weed\dataset\images\train\agri_0_2345.jpeg,Final\weed\data\agri_0_2345_mask.png
Weed\dataset\images\val\agri_0_5147.jpeg,Final\weed\data\agri_0_5147_mask.png
Weed\dataset\images\train\agri_0_3.jpeg,Final\weed\data\agri_0_3_mask.png
Weed\dataset\images\train\agri_0_5458.jpeg,Final\weed\data\agri_0_5458_mask.png
Weed\dataset\images\train\agri_0_5568.jpeg,Final\weed\data\agri_0_5568_mask.png
Weed\dataset\images\val\agri_0_8482.jpeg,Final\weed\data\agri_0_8482_mask.png
Weed\dataset\images\train\agri_0_8982.jpeg,Final\weed\data\agri_0_8982_mask.png
Weed\dataset\images\train\agri_0_3500.jpeg,Final\weed\data\agri_0_3500_mask.png
Weed\dataset\images\val\agri_0_3666.jpeg,Final\weed\data\agri_0_3666_mask.png
Weed\dataset\images\val\agri_0_2001.jpeg,Final\weed\data\agri_0_2001_mask.png
Weed\dataset\images\train\agri_0_3228.jpeg,Final\weed\data\agri_0_3228_mask.png
Weed\dataset\images\train\agri_0_8393.jpeg,Final\weed\data\agri_0_8393_mask.png
Weed\dataset\images\train\agri_0_4068.jpeg,Final\weed\data\agri_0_4068_mask.png
Weed\dataset\images\val\agri_0_2040.jpeg,Final\weed\data\agri_0_2040_mask.png
Weed\dataset\images\test\agri_0_9044.jpeg,Final\weed\data\agri_0_9044_mask.png
Weed\dataset\images\train\agri_0_5220.jpeg,Final\weed\data\agri_0_5220_mask.png
Weed\dataset\images\train\agri_0_6312.jpeg,Final\weed\data\agri_0_6312_mask.png
Weed\dataset\images\val\agri_0_203.jpeg,Final\weed\data\agri_0_203_mask.png
Weed\dataset\images\train\agri_0_9439.jpeg,Final\weed\data\agri_0_9439_mask.png
Weed\dataset\images\train\agri_0_7878.jpeg,Final\weed\data\agri_0_7878_mask.png
Weed\dataset\images\val\agri_0_2714.jpeg,Final\weed\data\agri_0_2714_mask.png
Weed\dataset\images\train\agri_0_4237.jpeg,Final\weed\data\agri_0_4237_mask.png
Weed\dataset\images\val\agri_0_3081.jpeg,Final\weed\data\agri_0_3081_mask.png
Weed\dataset\images\val\agri_0_3423.jpeg,Final\weed\data\agri_0_3423_mask.png
Weed\dataset\images\train\agri_0_9226.jpeg,Final\weed\data\agri_0_9226_mask.png
Weed\dataset\images\val\agri_0_3442.jpeg,Final\weed\data\agri_0_3442_mask.png
Weed\dataset\images\train\agri_0_4937.jpeg,Final\weed\data\agri_0_4937_mask.png
Weed\dataset\images\train\agri_0_5248.jpeg,Final\weed\data\agri_0_5248_mask.png
Weed\dataset\images\train\agri_0_5733.jpeg,Final\weed\data\agri_0_5733_mask.png
Weed\dataset\images\train\agri_0_6879.jpeg,Final\weed\data\agri_0_6879_mask.png
Weed\dataset\images\val\agri_0_7796.jpeg,Final\weed\data\agri_0_7796_mask.png
Weed\dataset\images\val\agri_0_757.jpeg,Final\weed\data\agri_0_757_mask.png
Weed\dataset\images\train\agri_0_6039.jpeg,Final\weed\data\agri_0_6039_mask.png
Weed\dataset\images\train\agri_0_6417.jpeg,Final\weed\data\agri_0_6417_mask.png
Weed\dataset\images\train\agri_0_8330.jpeg,Final\weed\data\agri_0_8330_mask.png
Weed\dataset\images\train\agri_0_4123.jpeg,Final\weed\data\agri_0_4123_mask.png
Weed\dataset\images\train\agri_0_5128.jpeg,Final\weed\data\agri_0_5128_mask.png
Weed\dataset\images\train\agri_0_5744.jpeg,Final\weed\data\agri_0_5744_mask.png
Weed\dataset\images\val\agri_0_8046.jpeg,Final\weed\data\agri_0_8046_mask.png
Weed\dataset\images\train\agri_0_6679.jpeg,Final\weed\data\agri_0_6679_mask.png
Weed\dataset\images\val\agri_0_6216.jpeg,Final\weed\data\agri_0_6216_mask.png
Weed\dataset\images\train\agri_0_654.jpeg,Final\weed\data\agri_0_654_mask.png
Weed\dataset\images\train\agri_0_3412.jpeg,Final\weed\data\agri_0_3412_mask.png
Weed\dataset\images\train\agri_0_4107.jpeg,Final\weed\data\agri_0_4107_mask.png
Weed\dataset\images\train\agri_0_6160.jpeg,Final\weed\data\agri_0_6160_mask.png
Weed\dataset\images\train\agri_0_789.jpeg,Final\weed\data\agri_0_789_mask.png
Weed\dataset\images\train\agri_0_4034.jpeg,Final\weed\data\agri_0_4034_mask.png
Weed\dataset\images\val\agri_0_122.jpeg,Final\weed\data\agri_0_122_mask.png
Weed\dataset\images\train\agri_0_1174.jpeg,Final\weed\data\agri_0_1174_mask.png
Weed\dataset\images\train\agri_0_2854.jpeg,Final\weed\data\agri_0_2854_mask.png
Weed\dataset\images\train\agri_0_5818.jpeg,Final\weed\data\agri_0_5818_mask.png
Weed\dataset\images\train\agri_0_7241.jpeg,Final\weed\data\agri_0_7241_mask.png
Weed\dataset\images\train\agri_0_1992.jpeg,Final\weed\data\agri_0_1992_mask.png
Weed\dataset\images\val\agri_0_333.jpeg,Final\weed\data\agri_0_333_mask.png
Weed\dataset\images\train\agri_0_8585.jpeg,Final\weed\data\agri_0_8585_mask.png
Weed\dataset\images\val\agri_0_7985.jpeg,Final\weed\data\agri_0_7985_mask.png
Weed\dataset\images\val\agri_0_7495.jpeg,Final\weed\data\agri_0_7495_mask.png
Weed\dataset\images\train\agri_0_8980.jpeg,Final\weed\data\agri_0_8980_mask.png
Weed\dataset\images\train\agri_0_9899.jpeg,Final\weed\data\agri_0_9899_mask.png
Weed\dataset\images\val\agri_0_8800.jpeg,Final\weed\data\agri_0_8800_mask.png
Weed\dataset\images\train\agri_0_1020.jpeg,Final\weed\data\agri_0_1020_mask.png
Weed\dataset\images\val\agri_0_1858.jpeg,Final\weed\data\agri_0_1858_mask.png
Weed\dataset\images\train\agri_0_5953.jpeg,Final\weed\data\agri_0_5953_mask.png
Weed\dataset\images\train\agri_0_8803.jpeg,Final\weed\data\agri_0_8803_mask.png
Weed\dataset\images\train\agri_0_8478.jpeg,Final\weed\data\agri_0_8478_mask.png
Weed\dataset\images\train\agri_0_8095.jpeg,Final\weed\data\agri_0_8095_mask.png
Weed\dataset\images\train\agri_0_7106.jpeg,Final\weed\data\agri_0_7106_mask.png
Weed\dataset\images\val\agri_0_3796.jpeg,Final\weed\data\agri_0_3796_mask.png
Weed\dataset\images\train\agri_0_8322.jpeg,Final\weed\data\agri_0_8322_mask.png
Weed\dataset\images\train\agri_0_4463.jpeg,Final\weed\data\agri_0_4463_mask.png
Weed\dataset\images\val\agri_0_3378.jpeg,Final\weed\data\agri_0_3378_mask.png
Weed\dataset\images\train\agri_0_8357.jpeg,Final\weed\data\agri_0_8357_mask.png
Weed\dataset\images\train\agri_0_3403.jpeg,Final\weed\data\agri_0_3403_mask.png
Weed\dataset\images\train\agri_0_9875.jpeg,Final\weed\data\agri_0_9875_mask.png
Weed\dataset\images\train\agri_0_6717.jpeg,Final\weed\data\agri_0_6717_mask.png
Weed\dataset\images\train\agri_0_1026.jpeg,Final\weed\data\agri_0_1026_mask.png
Weed\dataset\images\train\agri_0_1793.jpeg,Final\weed\data\agri_0_1793_mask.png
Weed\dataset\images\train\agri_0_4033.jpeg,Final\weed\data\agri_0_4033_mask.png
Weed\dataset\images\train\agri_0_9132.jpeg,Final\weed\data\agri_0_9132_mask.png
Weed\dataset\images\train\agri_0_5246.jpeg,Final\weed\data\agri_0_5246_mask.png
Weed\dataset\images\val\agri_0_7788.jpeg,Final\weed\data\agri_0_7788_mask.png
Weed\dataset\images\train\agri_0_6851.jpeg,Final\weed\data\agri_0_6851_mask.png
Weed\dataset\images\train\agri_0_4029.jpeg,Final\weed\data\agri_0_4029_mask.png
Weed\dataset\images\train\agri_0_7637.jpeg,Final\weed\data\agri_0_7637_mask.png
Weed\dataset\images\train\agri_0_8913.jpeg,Final\weed\data\agri_0_8913_mask.png
Weed\dataset\images\train\agri_0_8572.jpeg,Final\weed\data\agri_0_8572_mask.png
Weed\dataset\images\val\agri_0_5210.jpeg,Final\weed\data\agri_0_5210_mask.png
Weed\dataset\images\train\agri_0_2727.jpeg,Final\weed\data\agri_0_2727_mask.png
Weed\dataset\images\train\agri_0_4391.jpeg,Final\weed\data\agri_0_4391_mask.png
Weed\dataset\images\train\agri_0_5389.jpeg,Final\weed\data\agri_0_5389_mask.png
Weed\dataset\images\train\agri_0_6196.jpeg,Final\weed\data\agri_0_6196_mask.png
Weed\dataset\images\train\agri_0_4687.jpeg,Final\weed\data\agri_0_4687_mask.png
Weed\dataset\images\train\agri_0_1508.jpeg,Final\weed\data\agri_0_1508_mask.png
Weed\dataset\images\train\agri_0_9030.jpeg,Final\weed\data\agri_0_9030_mask.png
Weed\dataset\images\train\agri_0_1509.jpeg,Final\weed\data\agri_0_1509_mask.png
Weed\dataset\images\val\agri_0_9312.jpeg,Final\weed\data\agri_0_9312_mask.png
Weed\dataset\images\val\agri_0_2644.jpeg,Final\weed\data\agri_0_2644_mask.png
Weed\dataset\images\train\agri_0_1082.jpeg,Final\weed\data\agri_0_1082_mask.png
Weed\dataset\images\train\agri_0_9601.jpeg,Final\weed\data\agri_0_9601_mask.png
Weed\dataset\images\val\agri_0_6270.jpeg,Final\weed\data\agri_0_6270_mask.png
Weed\dataset\images\train\agri_0_3259.jpeg,Final\weed\data\agri_0_3259_mask.png
Weed\dataset\images\train\agri_0_4947.jpeg,Final\weed\data\agri_0_4947_mask.png
Weed\dataset\images\test\agri_0_7294.jpeg,Final\weed\data\agri_0_7294_mask.png
Weed\dataset\images\train\agri_0_9109.jpeg,Final\weed\data\agri_0_9109_mask.png
Weed\dataset\images\train\agri_0_6419.jpeg,Final\weed\data\agri_0_6419_mask.png
Weed\dataset\images\train\agri_0_9126.jpeg,Final\weed\data\agri_0_9126_mask.png
Weed\dataset\images\val\agri_0_5896.jpeg,Final\weed\data\agri_0_5896_mask.png
Weed\dataset\images\train\agri_0_9485.jpeg,Final\weed\data\agri_0_9485_mask.png
Weed\dataset\images\val\agri_0_4499.jpeg,Final\weed\data\agri_0_4499_mask.png
Weed\dataset\images\train\agri_0_543.jpeg,Final\weed\data\agri_0_543_mask.png
Weed\dataset\images\train\agri_0_9032.jpeg,Final\weed\data\agri_0_9032_mask.png
Weed\dataset\images\val\agri_0_9381.jpeg,Final\weed\data\agri_0_9381_mask.png
Weed\dataset\images\train\agri_0_9047.jpeg,Final\weed\data\agri_0_9047_mask.png
Weed\dataset\images\val\agri_0_6504.jpeg,Final\weed\data\agri_0_6504_mask.png
Weed\dataset\images\train\agri_0_882.jpeg,Final\weed\data\agri_0_882_mask.png
Weed\dataset\images\train\agri_0_3077.jpeg,Final\weed\data\agri_0_3077_mask.png
Weed\dataset\images\train\agri_0_4645.jpeg,Final\weed\data\agri_0_4645_mask.png
Weed\dataset\images\train\agri_0_3703.jpeg,Final\weed\data\agri_0_3703_mask.png
Weed\dataset\images\train\agri_0_2807.jpeg,Final\weed\data\agri_0_2807_mask.png
Weed\dataset\images\val\agri_0_9216.jpeg,Final\weed\data\agri_0_9216_mask.png
Weed\dataset\images\train\agri_0_7534.jpeg,Final\weed\data\agri_0_7534_mask.png
Weed\dataset\images\train\agri_0_1018.jpeg,Final\weed\data\agri_0_1018_mask.png
Weed\dataset\images\train\agri_0_1028.jpeg,Final\weed\data\agri_0_1028_mask.png
Weed\dataset\images\train\agri_0_3748.jpeg,Final\weed\data\agri_0_3748_mask.png
Weed\dataset\images\train\agri_0_3331.jpeg,Final\weed\data\agri_0_3331_mask.png
Weed\dataset\images\train\agri_0_8788.jpeg,Final\weed\data\agri_0_8788_mask.png
Weed\dataset\images\train\agri_0_665.jpeg,Final\weed\data\agri_0_665_mask.png
Weed\dataset\images\val\agri_0_5145.jpeg,Final\weed\data\agri_0_5145_mask.png
Weed\dataset\images\train\agri_0_600.jpeg,Final\weed\data\agri_0_600_mask.png
Weed\dataset\images\val\agri_0_8073.jpeg,Final\weed\data\agri_0_8073_mask.png
Weed\dataset\images\val\agri_0_2670.jpeg,Final\weed\data\agri_0_2670_mask.png
Weed\dataset\images\train\agri_0_4806.jpeg,Final\weed\data\agri_0_4806_mask.png
Weed\dataset\images\train\agri_0_6010.jpeg,Final\weed\data\agri_0_6010_mask.png
Weed\dataset\images\val\agri_0_1168.jpeg,Final\weed\data\agri_0_1168_mask.png
Weed\dataset\images\train\agri_0_7141.jpeg,Final\weed\data\agri_0_7141_mask.png
Weed\dataset\images\val\agri_0_9612.jpeg,Final\weed\data\agri_0_9612_mask.png
Weed\dataset\images\train\agri_0_4651.jpeg,Final\weed\data\agri_0_4651_mask.png
Weed\dataset\images\train\agri_0_4690.jpeg,Final\weed\data\agri_0_4690_mask.png
Weed\dataset\images\val\agri_0_741.jpeg,Final\weed\data\agri_0_741_mask.png
Weed\dataset\images\val\agri_0_7629.jpeg,Final\weed\data\agri_0_7629_mask.png
Weed\dataset\images\val\agri_0_5066.jpeg,Final\weed\data\agri_0_5066_mask.png
Weed\dataset\images\train\agri_0_7034.jpeg,Final\weed\data\agri_0_7034_mask.png
Weed\dataset\images\train\agri_0_9796.jpeg,Final\weed\data\agri_0_9796_mask.png
Weed\dataset\images\val\agri_0_3657.jpeg,Final\weed\data\agri_0_3657_mask.png
Weed\dataset\images\train\agri_0_8899.jpeg,Final\weed\data\agri_0_8899_mask.png
Weed\dataset\images\train\agri_0_8914.jpeg,Final\weed\data\agri_0_8914_mask.png
Weed\dataset\images\train\agri_0_2971.jpeg,Final\weed\data\agri_0_2971_mask.png
Weed\dataset\images\train\agri_0_3226.jpeg,Final\weed\data\agri_0_3226_mask.png
Weed\dataset\images\train\agri_0_1146.jpeg,Final\weed\data\agri_0_1146_mask.png
Weed\dataset\images\train\agri_0_3530.jpeg,Final\weed\data\agri_0_3530_mask.png
Weed\dataset\images\train\agri_0_4753.jpeg,Final\weed\data\agri_0_4753_mask.png
Weed\dataset\images\val\agri_0_1314.jpeg,Final\weed\data\agri_0_1314_mask.png
Weed\dataset\images\val\agri_0_3398.jpeg,Final\weed\data\agri_0_3398_mask.png
Weed\dataset\images\train\agri_0_1835.jpeg,Final\weed\data\agri_0_1835_mask.png
Weed\dataset\images\train\agri_0_7586.jpeg,Final\weed\data\agri_0_7586_mask.png
Weed\dataset\images\train\agri_0_136.jpeg,Final\weed\data\agri_0_136_mask.png
Weed\dataset\images\train\agri_0_5370.jpeg,Final\weed\data\agri_0_5370_mask.png
Weed\dataset\images\train\agri_0_2653.jpeg,Final\weed\data\agri_0_2653_mask.png
Weed\dataset\images\train\agri_0_1908.jpeg,Final\weed\data\agri_0_1908_mask.png
Weed\dataset\images\val\agri_0_7018.jpeg,Final\weed\data\agri_0_7018_mask.png
Weed\dataset\images\train\agri_0_4955.jpeg,Final\weed\data\agri_0_4955_mask.png
Weed\dataset\images\train\agri_0_1530.jpeg,Final\weed\data\agri_0_1530_mask.png
Weed\dataset\images\train\agri_0_6652.jpeg,Final\weed\data\agri_0_6652_mask.png
Weed\dataset\images\train\agri_0_129.jpeg,Final\weed\data\agri_0_129_mask.png
Weed\dataset\images\train\agri_0_7959.jpeg,Final\weed\data\agri_0_7959_mask.png
Weed\dataset\images\train\agri_0_5994.jpeg,Final\weed\data\agri_0_5994_mask.png
Weed\dataset\images\train\agri_0_5634.jpeg,Final\weed\data\agri_0_5634_mask.png
Weed\dataset\images\train\agri_0_7489.jpeg,Final\weed\data\agri_0_7489_mask.png
Weed\dataset\images\train\agri_0_4326.jpeg,Final\weed\data\agri_0_4326_mask.png
Weed\dataset\images\train\agri_0_7625.jpeg,Final\weed\data\agri_0_7625_mask.png
Weed\dataset\images\train\agri_0_8746.jpeg,Final\weed\data\agri_0_8746_mask.png
Weed\dataset\images\train\agri_0_5216.jpeg,Final\weed\data\agri_0_5216_mask.png
Weed\dataset\images\train\agri_0_14.jpeg,Final\weed\data\agri_0_14_mask.png
Weed\dataset\images\train\agri_0_1729.jpeg,Final\weed\data\agri_0_1729_mask.png
Weed\dataset\images\train\agri_0_4785.jpeg,Final\weed\data\agri_0_4785_mask.png
Weed\dataset\images\val\agri_0_2521.jpeg,Final\weed\data\agri_0_2521_mask.png
Weed\dataset\images\train\agri_0_3136.jpeg,Final\weed\data\agri_0_3136_mask.png
Weed\dataset\images\train\agri_0_3680.jpeg,Final\weed\data\agri_0_3680_mask.png
Weed\dataset\images\train\agri_0_4675.jpeg,Final\weed\data\agri_0_4675_mask.png
Weed\dataset\images\val\agri_0_5426.jpeg,Final\weed\data\agri_0_5426_mask.png
Weed\dataset\images\train\agri_0_5169.jpeg,Final\weed\data\agri_0_5169_mask.png
Weed\dataset\images\train\agri_0_2441.jpeg,Final\weed\data\agri_0_2441_mask.png
Weed\dataset\images\train\agri_0_1852.jpeg,Final\weed\data\agri_0_1852_mask.png
Weed\dataset\images\val\agri_0_6783.jpeg,Final\weed\data\agri_0_6783_mask.png
Weed\dataset\images\train\agri_0_6189.jpeg,Final\weed\data\agri_0_6189_mask.png
Weed\dataset\images\train\agri_0_2567.jpeg,Final\weed\data\agri_0_2567_mask.png
Weed\dataset\images\train\agri_0_866.jpeg,Final\weed\data\agri_0_866_mask.png
Weed\dataset\images\val\agri_0_7636.jpeg,Final\weed\data\agri_0_7636_mask.png
Weed\dataset\images\train\agri_0_6286.jpeg,Final\weed\data\agri_0_6286_mask.png
Weed\dataset\images\train\agri_0_6572.jpeg,Final\weed\data\agri_0_6572_mask.png
Weed\dataset\images\val\agri_0_9043.jpeg,Final\weed\data\agri_0_9043_mask.png
Weed\dataset\images\train\agri_0_5087.jpeg,Final\weed\data\agri_0_5087_mask.png
Weed\dataset\images\train\agri_0_2442.jpeg,Final\weed\data\agri_0_2442_mask.png
Weed\dataset\images\val\agri_0_1993.jpeg,Final\weed\data\agri_0_1993_mask.png
Weed\dataset\images\train\agri_0_6157.jpeg,Final\weed\data\agri_0_6157_mask.png
Weed\dataset\images\train\agri_0_1612.jpeg,Final\weed\data\agri_0_1612_mask.png
Weed\dataset\images\train\agri_0_9252.jpeg,Final\weed\data\agri_0_9252_mask.png
Weed\dataset\images\train\agri_0_4862.jpeg,Final\weed\data\agri_0_4862_mask.png
Weed\dataset\images\val\agri_0_8388.jpeg,Final\weed\data\agri_0_8388_mask.png
Weed\dataset\images\val\agri_0_4416.jpeg,Final\weed\data\agri_0_4416_mask.png
Weed\dataset\images\train\agri_0_2320.jpeg,Final\weed\data\agri_0_2320_mask.png
Weed\dataset\images\train\agri_0_2895.jpeg,Final\weed\data\agri_0_2895_mask.png
Weed\dataset\images\train\agri_0_3289.jpeg,Final\weed\data\agri_0_3289_mask.png
Weed\dataset\images\train\agri_0_7279.jpeg,Final\weed\data\agri_0_7279_mask.png
Weed\dataset\images\train\agri_0_5039.jpeg,Final\weed\data\agri_0_5039_mask.png
Weed\dataset\images\train\agri_0_3514.jpeg,Final\weed\data\agri_0_3514_mask.png
Weed\dataset\images\train\agri_0_1779.jpeg,Final\weed\data\agri_0_1779_mask.png
Weed\dataset\images\train\agri_0_9055.jpeg,Final\weed\data\agri_0_9055_mask.png
