filepath,label,split,class_id,predicted_class_id,predicted_label,confidence
R:\Developments\ARIS\Disease\Validation\Anthracnose on Cotton\Image_13.jpg,Anthracnose on Cotton,val,1,1,Anthracnose on Cotton,0.7540679
R:\Developments\ARIS\Disease\Validation\Anthracnose on Cotton\Image_14.jpg,Anthracnose on Cotton,val,1,1,Anthracnose on Cotton,0.5047634
R:\Developments\ARIS\Disease\Validation\Anthracnose on Cotton\Image_5.jpg,Anthracnose on Cotton,val,1,1,Anthracnose on Cotton,0.49654317
R:\Developments\ARIS\Disease\Validation\Anthracnose on Cotton\Image_6.jpg,Anthracnose on Cotton,val,1,1,Anthracnose on Cotton,0.4616787
R:\Developments\ARIS\Disease\Validation\Anthracnose on Cotton\Image_7.jpg,Anthracnose on Cotton,val,1,1,Anthracnose on Cotton,0.90590745
R:\Developments\ARIS\Disease\Validation\Anthracnose on Cotton\Image_8.jpg,Anthracnose on Cotton,val,1,1,Anthracnose on Cotton,0.73313445
R:\Developments\ARIS\Disease\Validation\Anthracnose on Cotton\Image_9.jpg,Anthracnose on Cotton,val,1,1,Anthracnose on Cotton,0.8750644
R:\Developments\ARIS\Disease\Validation\Army worm\1.jpg,Army worm,val,2,2,Army worm,0.5886496
R:\Developments\ARIS\Disease\Validation\Army worm\10.jpg,Army worm,val,2,2,Army worm,0.43644798
R:\Developments\ARIS\Disease\Validation\Army worm\11.jpg,Army worm,val,2,2,Army worm,0.5463478
R:\Developments\ARIS\Disease\Validation\Army worm\12.jpg,Army worm,val,2,2,Army worm,0.41026163
R:\Developments\ARIS\Disease\Validation\Army worm\13.jpg,Army worm,val,2,36,bollworm on Cotton,0.35650656
R:\Developments\ARIS\Disease\Validation\Army worm\14.jpg,Army worm,val,2,2,Army worm,0.40529016
R:\Developments\ARIS\Disease\Validation\Army worm\15.jpg,Army worm,val,2,2,Army worm,0.3570168
R:\Developments\ARIS\Disease\Validation\Army worm\16.jpg,Army worm,val,2,1,Anthracnose on Cotton,0.48730552
R:\Developments\ARIS\Disease\Validation\Army worm\17.jpg,Army worm,val,2,40,maize fall armyworm,0.29688415
R:\Developments\ARIS\Disease\Validation\Army worm\18.jpg,Army worm,val,2,2,Army worm,0.4018146
R:\Developments\ARIS\Disease\Validation\Army worm\19.jpg,Army worm,val,2,1,Anthracnose on Cotton,0.19607122
R:\Developments\ARIS\Disease\Validation\Army worm\2.jpg,Army worm,val,2,2,Army worm,0.1988454
R:\Developments\ARIS\Disease\Validation\Army worm\20.jpg,Army worm,val,2,2,Army worm,0.3700684
R:\Developments\ARIS\Disease\Validation\Army worm\21.jpg,Army worm,val,2,1,Anthracnose on Cotton,0.19475877
R:\Developments\ARIS\Disease\Validation\Army worm\22.jpg,Army worm,val,2,2,Army worm,0.11808673
R:\Developments\ARIS\Disease\Validation\Army worm\23.jpg,Army worm,val,2,2,Army worm,0.25544456
R:\Developments\ARIS\Disease\Validation\Army worm\24.jpg,Army worm,val,2,2,Army worm,0.3004903
R:\Developments\ARIS\Disease\Validation\Army worm\25.jpg,Army worm,val,2,2,Army worm,0.20542276
R:\Developments\ARIS\Disease\Validation\Army worm\26.jpg,Army worm,val,2,38,cotton whitefly,0.35832843
R:\Developments\ARIS\Disease\Validation\Army worm\27.jpg,Army worm,val,2,2,Army worm,0.427886
R:\Developments\ARIS\Disease\Validation\Army worm\28.jpg,Army worm,val,2,2,Army worm,0.27179387
R:\Developments\ARIS\Disease\Validation\Army worm\29.jpg,Army worm,val,2,0,American Bollworm on Cotton,0.15663978
R:\Developments\ARIS\Disease\Validation\Army worm\3.jpg,Army worm,val,2,2,Army worm,0.8072779
R:\Developments\ARIS\Disease\Validation\Army worm\30.jpg,Army worm,val,2,2,Army worm,0.6183771
R:\Developments\ARIS\Disease\Validation\Army worm\31.jpg,Army worm,val,2,2,Army worm,0.38444003
R:\Developments\ARIS\Disease\Validation\Army worm\32.jpg,Army worm,val,2,2,Army worm,0.4386905
R:\Developments\ARIS\Disease\Validation\Army worm\33.jpg,Army worm,val,2,2,Army worm,0.68502575
R:\Developments\ARIS\Disease\Validation\Army worm\34.jpg,Army worm,val,2,2,Army worm,0.63222885
R:\Developments\ARIS\Disease\Validation\Army worm\35.jpg,Army worm,val,2,2,Army worm,0.9314043
R:\Developments\ARIS\Disease\Validation\Army worm\36.jpg,Army worm,val,2,2,Army worm,0.5428694
R:\Developments\ARIS\Disease\Validation\Army worm\37.jpg,Army worm,val,2,2,Army worm,0.69540405
R:\Developments\ARIS\Disease\Validation\Army worm\38.jpg,Army worm,val,2,2,Army worm,0.5543829
R:\Developments\ARIS\Disease\Validation\Army worm\39.jpg,Army worm,val,2,2,Army worm,0.38131225
R:\Developments\ARIS\Disease\Validation\Army worm\4.jpg,Army worm,val,2,2,Army worm,0.6564026
R:\Developments\ARIS\Disease\Validation\Army worm\40.jpg,Army worm,val,2,2,Army worm,0.57050246
R:\Developments\ARIS\Disease\Validation\Army worm\5.jpg,Army worm,val,2,2,Army worm,0.2513081
R:\Developments\ARIS\Disease\Validation\Army worm\6.jpg,Army worm,val,2,12,Healthy cotton,0.37946245
R:\Developments\ARIS\Disease\Validation\Army worm\7.jpg,Army worm,val,2,2,Army worm,0.60747176
R:\Developments\ARIS\Disease\Validation\Army worm\8.jpg,Army worm,val,2,36,bollworm on Cotton,0.28057912
R:\Developments\ARIS\Disease\Validation\Army worm\9.jpg,Army worm,val,2,37,cotton mealy bug,0.21049452
R:\Developments\ARIS\Disease\Validation\Army worm\contrast_1.jpg,Army worm,val,2,2,Army worm,0.58408433
R:\Developments\ARIS\Disease\Validation\Army worm\contrast_10.jpg,Army worm,val,2,2,Army worm,0.45092162
R:\Developments\ARIS\Disease\Validation\Army worm\contrast_11.jpg,Army worm,val,2,2,Army worm,0.5117747
R:\Developments\ARIS\Disease\Validation\Army worm\contrast_12.jpg,Army worm,val,2,2,Army worm,0.33768597
R:\Developments\ARIS\Disease\Validation\Army worm\contrast_13.jpg,Army worm,val,2,36,bollworm on Cotton,0.34924737
R:\Developments\ARIS\Disease\Validation\Army worm\contrast_14.jpg,Army worm,val,2,2,Army worm,0.52206784
R:\Developments\ARIS\Disease\Validation\Army worm\contrast_15.jpg,Army worm,val,2,2,Army worm,0.37100506
R:\Developments\ARIS\Disease\Validation\Army worm\contrast_16.jpg,Army worm,val,2,1,Anthracnose on Cotton,0.43196902
R:\Developments\ARIS\Disease\Validation\Army worm\contrast_17.jpg,Army worm,val,2,40,maize fall armyworm,0.21764182
R:\Developments\ARIS\Disease\Validation\Army worm\contrast_18.jpg,Army worm,val,2,2,Army worm,0.45801416
R:\Developments\ARIS\Disease\Validation\Army worm\contrast_19.jpg,Army worm,val,2,1,Anthracnose on Cotton,0.16099147
R:\Developments\ARIS\Disease\Validation\Army worm\contrast_2.jpg,Army worm,val,2,2,Army worm,0.30691555
R:\Developments\ARIS\Disease\Validation\Army worm\contrast_20.jpg,Army worm,val,2,2,Army worm,0.5364749
R:\Developments\ARIS\Disease\Validation\Army worm\contrast_21.jpg,Army worm,val,2,1,Anthracnose on Cotton,0.20463832
R:\Developments\ARIS\Disease\Validation\Army worm\contrast_22.jpg,Army worm,val,2,2,Army worm,0.11573834
R:\Developments\ARIS\Disease\Validation\Army worm\contrast_23.jpg,Army worm,val,2,2,Army worm,0.26586398
R:\Developments\ARIS\Disease\Validation\Army worm\contrast_24.jpg,Army worm,val,2,2,Army worm,0.2900264
R:\Developments\ARIS\Disease\Validation\Army worm\contrast_25.jpg,Army worm,val,2,2,Army worm,0.2331148
R:\Developments\ARIS\Disease\Validation\Army worm\contrast_26.jpg,Army worm,val,2,38,cotton whitefly,0.25618222
R:\Developments\ARIS\Disease\Validation\Army worm\contrast_27.jpg,Army worm,val,2,2,Army worm,0.5273577
R:\Developments\ARIS\Disease\Validation\Army worm\contrast_28.jpg,Army worm,val,2,2,Army worm,0.24912791
R:\Developments\ARIS\Disease\Validation\Army worm\contrast_29.jpg,Army worm,val,2,0,American Bollworm on Cotton,0.17180128
R:\Developments\ARIS\Disease\Validation\Army worm\contrast_3.jpg,Army worm,val,2,2,Army worm,0.7832357
R:\Developments\ARIS\Disease\Validation\Army worm\contrast_30.jpg,Army worm,val,2,2,Army worm,0.4586297
R:\Developments\ARIS\Disease\Validation\Army worm\contrast_31.jpg,Army worm,val,2,2,Army worm,0.22843926
R:\Developments\ARIS\Disease\Validation\Army worm\contrast_32.jpg,Army worm,val,2,2,Army worm,0.43488154
R:\Developments\ARIS\Disease\Validation\Army worm\contrast_33.jpg,Army worm,val,2,2,Army worm,0.67003345
R:\Developments\ARIS\Disease\Validation\Army worm\contrast_34.jpg,Army worm,val,2,2,Army worm,0.72762585
R:\Developments\ARIS\Disease\Validation\Army worm\contrast_35.jpg,Army worm,val,2,2,Army worm,0.74634886
R:\Developments\ARIS\Disease\Validation\Army worm\contrast_36.jpg,Army worm,val,2,2,Army worm,0.521416
R:\Developments\ARIS\Disease\Validation\Army worm\contrast_37.jpg,Army worm,val,2,2,Army worm,0.6421693
R:\Developments\ARIS\Disease\Validation\Army worm\contrast_38.jpg,Army worm,val,2,2,Army worm,0.5275318
R:\Developments\ARIS\Disease\Validation\Army worm\contrast_39.jpg,Army worm,val,2,2,Army worm,0.38918075
R:\Developments\ARIS\Disease\Validation\Army worm\contrast_4.jpg,Army worm,val,2,2,Army worm,0.49415842
R:\Developments\ARIS\Disease\Validation\Army worm\contrast_40.jpg,Army worm,val,2,2,Army worm,0.5064922
R:\Developments\ARIS\Disease\Validation\Army worm\contrast_5.jpg,Army worm,val,2,2,Army worm,0.3817447
R:\Developments\ARIS\Disease\Validation\Army worm\contrast_6.jpg,Army worm,val,2,12,Healthy cotton,0.3475411
R:\Developments\ARIS\Disease\Validation\Army worm\contrast_7.jpg,Army worm,val,2,2,Army worm,0.6631163
R:\Developments\ARIS\Disease\Validation\Army worm\contrast_8.jpg,Army worm,val,2,2,Army worm,0.24670458
R:\Developments\ARIS\Disease\Validation\Army worm\contrast_9.jpg,Army worm,val,2,38,cotton whitefly,0.22894776
R:\Developments\ARIS\Disease\Validation\Army worm\crop_1.jpg,Army worm,val,2,2,Army worm,0.59991914
R:\Developments\ARIS\Disease\Validation\Army worm\crop_10.jpg,Army worm,val,2,2,Army worm,0.13677987
R:\Developments\ARIS\Disease\Validation\Army worm\crop_11.jpg,Army worm,val,2,2,Army worm,0.32342184
R:\Developments\ARIS\Disease\Validation\Army worm\crop_12.jpg,Army worm,val,2,2,Army worm,0.6133507
R:\Developments\ARIS\Disease\Validation\Army worm\crop_13.jpg,Army worm,val,2,2,Army worm,0.32085195
R:\Developments\ARIS\Disease\Validation\Army worm\crop_14.jpg,Army worm,val,2,2,Army worm,0.24915099
R:\Developments\ARIS\Disease\Validation\Army worm\crop_15.jpg,Army worm,val,2,36,bollworm on Cotton,0.30274722
R:\Developments\ARIS\Disease\Validation\Army worm\crop_16.jpg,Army worm,val,2,1,Anthracnose on Cotton,0.23026906
R:\Developments\ARIS\Disease\Validation\Army worm\crop_17.jpg,Army worm,val,2,2,Army worm,0.23955615
R:\Developments\ARIS\Disease\Validation\Army worm\crop_18.jpg,Army worm,val,2,36,bollworm on Cotton,0.20468672
R:\Developments\ARIS\Disease\Validation\Army worm\crop_19.jpg,Army worm,val,2,34,bacterial_blight in Cotton,0.22778958
R:\Developments\ARIS\Disease\Validation\Army worm\crop_2.jpg,Army worm,val,2,2,Army worm,0.3993632
R:\Developments\ARIS\Disease\Validation\Army worm\crop_20.jpg,Army worm,val,2,2,Army worm,0.3604355
R:\Developments\ARIS\Disease\Validation\Army worm\crop_21.jpg,Army worm,val,2,43,red cotton bug,0.118559234
R:\Developments\ARIS\Disease\Validation\Army worm\crop_22.jpg,Army worm,val,2,3,Bacterial Blight in cotton,0.17471226
R:\Developments\ARIS\Disease\Validation\Army worm\crop_23.jpg,Army worm,val,2,44,thirps on  cotton,0.28148064
R:\Developments\ARIS\Disease\Validation\Army worm\crop_24.jpg,Army worm,val,2,2,Army worm,0.41345787
R:\Developments\ARIS\Disease\Validation\Army worm\crop_25.jpg,Army worm,val,2,2,Army worm,0.1714815
R:\Developments\ARIS\Disease\Validation\Army worm\crop_26.jpg,Army worm,val,2,38,cotton whitefly,0.2758045
R:\Developments\ARIS\Disease\Validation\Army worm\crop_27.jpg,Army worm,val,2,2,Army worm,0.49246797
R:\Developments\ARIS\Disease\Validation\Army worm\crop_28.jpg,Army worm,val,2,2,Army worm,0.28539857
R:\Developments\ARIS\Disease\Validation\Army worm\crop_29.jpg,Army worm,val,2,36,bollworm on Cotton,0.19675016
R:\Developments\ARIS\Disease\Validation\Army worm\crop_3.jpg,Army worm,val,2,2,Army worm,0.8169765
R:\Developments\ARIS\Disease\Validation\Army worm\crop_30.jpg,Army worm,val,2,2,Army worm,0.6813097
R:\Developments\ARIS\Disease\Validation\Army worm\crop_31.jpg,Army worm,val,2,2,Army worm,0.2590199
R:\Developments\ARIS\Disease\Validation\Army worm\crop_32.jpg,Army worm,val,2,2,Army worm,0.37010726
R:\Developments\ARIS\Disease\Validation\Army worm\crop_33.jpg,Army worm,val,2,2,Army worm,0.7508576
R:\Developments\ARIS\Disease\Validation\Army worm\crop_34.jpg,Army worm,val,2,43,red cotton bug,0.39341065
R:\Developments\ARIS\Disease\Validation\Army worm\crop_35.jpg,Army worm,val,2,2,Army worm,0.8701992
R:\Developments\ARIS\Disease\Validation\Army worm\crop_36.jpg,Army worm,val,2,2,Army worm,0.59815973
R:\Developments\ARIS\Disease\Validation\Army worm\crop_37.jpg,Army worm,val,2,2,Army worm,0.7844517
R:\Developments\ARIS\Disease\Validation\Army worm\crop_38.jpg,Army worm,val,2,2,Army worm,0.48743907
R:\Developments\ARIS\Disease\Validation\Army worm\crop_39.jpg,Army worm,val,2,2,Army worm,0.7033534
R:\Developments\ARIS\Disease\Validation\Army worm\crop_4.jpg,Army worm,val,2,2,Army worm,0.4325074
R:\Developments\ARIS\Disease\Validation\Army worm\crop_40.jpg,Army worm,val,2,2,Army worm,0.382545
R:\Developments\ARIS\Disease\Validation\Army worm\crop_5.jpg,Army worm,val,2,0,American Bollworm on Cotton,0.21471913
R:\Developments\ARIS\Disease\Validation\Army worm\crop_6.jpg,Army worm,val,2,2,Army worm,0.50193393
R:\Developments\ARIS\Disease\Validation\Army worm\crop_7.jpg,Army worm,val,2,2,Army worm,0.7827638
R:\Developments\ARIS\Disease\Validation\Army worm\crop_8.jpg,Army worm,val,2,36,bollworm on Cotton,0.34098622
R:\Developments\ARIS\Disease\Validation\Army worm\crop_9.jpg,Army worm,val,2,38,cotton whitefly,0.15199696
R:\Developments\ARIS\Disease\Validation\Army worm\flip_1.jpg,Army worm,val,2,2,Army worm,0.58927935
R:\Developments\ARIS\Disease\Validation\Army worm\flip_10.jpg,Army worm,val,2,2,Army worm,0.5585403
R:\Developments\ARIS\Disease\Validation\Army worm\flip_11.jpg,Army worm,val,2,2,Army worm,0.4622457
R:\Developments\ARIS\Disease\Validation\Army worm\flip_12.jpg,Army worm,val,2,2,Army worm,0.33957252
R:\Developments\ARIS\Disease\Validation\Army worm\flip_13.jpg,Army worm,val,2,36,bollworm on Cotton,0.348583
R:\Developments\ARIS\Disease\Validation\Army worm\flip_14.jpg,Army worm,val,2,2,Army worm,0.43323398
R:\Developments\ARIS\Disease\Validation\Army worm\flip_15.jpg,Army worm,val,2,2,Army worm,0.3524715
R:\Developments\ARIS\Disease\Validation\Army worm\flip_16.jpg,Army worm,val,2,1,Anthracnose on Cotton,0.36698425
R:\Developments\ARIS\Disease\Validation\Army worm\flip_17.jpg,Army worm,val,2,40,maize fall armyworm,0.2919753
R:\Developments\ARIS\Disease\Validation\Army worm\flip_18.jpg,Army worm,val,2,2,Army worm,0.46387866
R:\Developments\ARIS\Disease\Validation\Army worm\flip_19.jpg,Army worm,val,2,12,Healthy cotton,0.22197036
R:\Developments\ARIS\Disease\Validation\Army worm\flip_2.jpg,Army worm,val,2,2,Army worm,0.22471838
R:\Developments\ARIS\Disease\Validation\Army worm\flip_20.jpg,Army worm,val,2,2,Army worm,0.3801016
R:\Developments\ARIS\Disease\Validation\Army worm\flip_21.jpg,Army worm,val,2,44,thirps on  cotton,0.23866397
R:\Developments\ARIS\Disease\Validation\Army worm\flip_22.jpg,Army worm,val,2,2,Army worm,0.13188644
R:\Developments\ARIS\Disease\Validation\Army worm\flip_23.jpg,Army worm,val,2,2,Army worm,0.19949657
R:\Developments\ARIS\Disease\Validation\Army worm\flip_24.jpg,Army worm,val,2,2,Army worm,0.36662325
R:\Developments\ARIS\Disease\Validation\Army worm\flip_25.jpg,Army worm,val,2,1,Anthracnose on Cotton,0.18571548
R:\Developments\ARIS\Disease\Validation\Army worm\flip_26.jpg,Army worm,val,2,38,cotton whitefly,0.34807137
R:\Developments\ARIS\Disease\Validation\Army worm\flip_27.jpg,Army worm,val,2,2,Army worm,0.37663642
R:\Developments\ARIS\Disease\Validation\Army worm\flip_28.jpg,Army worm,val,2,2,Army worm,0.23676074
R:\Developments\ARIS\Disease\Validation\Army worm\flip_29.jpg,Army worm,val,2,44,thirps on  cotton,0.14357977
R:\Developments\ARIS\Disease\Validation\Army worm\flip_3.jpg,Army worm,val,2,2,Army worm,0.78408164
R:\Developments\ARIS\Disease\Validation\Army worm\flip_30.jpg,Army worm,val,2,2,Army worm,0.58182037
R:\Developments\ARIS\Disease\Validation\Army worm\flip_31.jpg,Army worm,val,2,2,Army worm,0.4112672
R:\Developments\ARIS\Disease\Validation\Army worm\flip_32.jpg,Army worm,val,2,2,Army worm,0.60774124
R:\Developments\ARIS\Disease\Validation\Army worm\flip_33.jpg,Army worm,val,2,2,Army worm,0.6805632
R:\Developments\ARIS\Disease\Validation\Army worm\flip_34.jpg,Army worm,val,2,2,Army worm,0.6315287
R:\Developments\ARIS\Disease\Validation\Army worm\flip_35.jpg,Army worm,val,2,2,Army worm,0.94648165
R:\Developments\ARIS\Disease\Validation\Army worm\flip_36.jpg,Army worm,val,2,2,Army worm,0.32265833
R:\Developments\ARIS\Disease\Validation\Army worm\flip_37.jpg,Army worm,val,2,2,Army worm,0.64337295
R:\Developments\ARIS\Disease\Validation\Army worm\flip_38.jpg,Army worm,val,2,2,Army worm,0.56075144
R:\Developments\ARIS\Disease\Validation\Army worm\flip_39.jpg,Army worm,val,2,2,Army worm,0.41011214
R:\Developments\ARIS\Disease\Validation\Army worm\flip_4.jpg,Army worm,val,2,2,Army worm,0.6053595
R:\Developments\ARIS\Disease\Validation\Army worm\flip_40.jpg,Army worm,val,2,2,Army worm,0.59999245
R:\Developments\ARIS\Disease\Validation\Army worm\flip_5.jpg,Army worm,val,2,2,Army worm,0.27563277
R:\Developments\ARIS\Disease\Validation\Army worm\flip_6.jpg,Army worm,val,2,12,Healthy cotton,0.37095812
R:\Developments\ARIS\Disease\Validation\Army worm\flip_7.jpg,Army worm,val,2,2,Army worm,0.6291775
R:\Developments\ARIS\Disease\Validation\Army worm\flip_8.jpg,Army worm,val,2,0,American Bollworm on Cotton,0.27315906
R:\Developments\ARIS\Disease\Validation\Army worm\flip_9.jpg,Army worm,val,2,2,Army worm,0.18190426
R:\Developments\ARIS\Disease\Validation\Army worm\flip_horizontal_1.jpg,Army worm,val,2,2,Army worm,0.5832776
R:\Developments\ARIS\Disease\Validation\Army worm\flip_horizontal_10.jpg,Army worm,val,2,2,Army worm,0.44430646
R:\Developments\ARIS\Disease\Validation\Army worm\flip_horizontal_11.jpg,Army worm,val,2,2,Army worm,0.57420355
R:\Developments\ARIS\Disease\Validation\Army worm\flip_horizontal_12.jpg,Army worm,val,2,2,Army worm,0.3366684
R:\Developments\ARIS\Disease\Validation\Army worm\flip_horizontal_13.jpg,Army worm,val,2,36,bollworm on Cotton,0.37771425
R:\Developments\ARIS\Disease\Validation\Army worm\flip_horizontal_14.jpg,Army worm,val,2,2,Army worm,0.40997648
R:\Developments\ARIS\Disease\Validation\Army worm\flip_horizontal_15.jpg,Army worm,val,2,2,Army worm,0.37082538
R:\Developments\ARIS\Disease\Validation\Army worm\flip_horizontal_16.jpg,Army worm,val,2,1,Anthracnose on Cotton,0.4540007
R:\Developments\ARIS\Disease\Validation\Army worm\flip_horizontal_17.jpg,Army worm,val,2,40,maize fall armyworm,0.29135787
R:\Developments\ARIS\Disease\Validation\Army worm\flip_horizontal_18.jpg,Army worm,val,2,2,Army worm,0.39964804
R:\Developments\ARIS\Disease\Validation\Army worm\flip_horizontal_19.jpg,Army worm,val,2,1,Anthracnose on Cotton,0.26274228
R:\Developments\ARIS\Disease\Validation\Army worm\flip_horizontal_2.jpg,Army worm,val,2,0,American Bollworm on Cotton,0.20839591
R:\Developments\ARIS\Disease\Validation\Army worm\flip_horizontal_20.jpg,Army worm,val,2,2,Army worm,0.35903582
R:\Developments\ARIS\Disease\Validation\Army worm\flip_horizontal_21.jpg,Army worm,val,2,1,Anthracnose on Cotton,0.19600202
R:\Developments\ARIS\Disease\Validation\Army worm\flip_horizontal_22.jpg,Army worm,val,2,2,Army worm,0.11519292
R:\Developments\ARIS\Disease\Validation\Army worm\flip_horizontal_23.jpg,Army worm,val,2,2,Army worm,0.26752985
R:\Developments\ARIS\Disease\Validation\Army worm\flip_horizontal_24.jpg,Army worm,val,2,2,Army worm,0.30753762
R:\Developments\ARIS\Disease\Validation\Army worm\flip_horizontal_25.jpg,Army worm,val,2,2,Army worm,0.1704203
R:\Developments\ARIS\Disease\Validation\Army worm\flip_horizontal_26.jpg,Army worm,val,2,38,cotton whitefly,0.34837103
R:\Developments\ARIS\Disease\Validation\Army worm\flip_horizontal_27.jpg,Army worm,val,2,2,Army worm,0.42102203
R:\Developments\ARIS\Disease\Validation\Army worm\flip_horizontal_28.jpg,Army worm,val,2,2,Army worm,0.2785362
R:\Developments\ARIS\Disease\Validation\Army worm\flip_horizontal_29.jpg,Army worm,val,2,2,Army worm,0.15918376
R:\Developments\ARIS\Disease\Validation\Army worm\flip_horizontal_3.jpg,Army worm,val,2,2,Army worm,0.7949869
R:\Developments\ARIS\Disease\Validation\Army worm\flip_horizontal_30.jpg,Army worm,val,2,2,Army worm,0.62581044
R:\Developments\ARIS\Disease\Validation\Army worm\flip_horizontal_31.jpg,Army worm,val,2,2,Army worm,0.45287618
R:\Developments\ARIS\Disease\Validation\Army worm\flip_horizontal_32.jpg,Army worm,val,2,2,Army worm,0.5357878
R:\Developments\ARIS\Disease\Validation\Army worm\flip_horizontal_33.jpg,Army worm,val,2,2,Army worm,0.686578
R:\Developments\ARIS\Disease\Validation\Army worm\flip_horizontal_34.jpg,Army worm,val,2,2,Army worm,0.7139414
R:\Developments\ARIS\Disease\Validation\Army worm\flip_horizontal_35.jpg,Army worm,val,2,2,Army worm,0.8979163
